Cross,Population,Latitude,JulyMax,JulyMean,OctMin,OctMean,Maternal Fam,Paternal Fam,Sex,ContainerID,Temp,Wet Mass
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,M,16.2,16,0.01491
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,M,16.2,16,0.02006
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,M,16.2,16,0.02079
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,M,16.2,16,0.01978
G10xG1,G,56.81,18.1,13.4,3.7,7.15,10,1,M,16.2,16,0.01945
G12xG1,G,56.81,18.1,13.4,3.7,7.15,12,1,M,20.1,20,0.0182
G12xG1,G,56.81,18.1,13.4,3.7,7.15,12,1,F,16.1,16,0.01106
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,F,20.2,20,0.01188
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,F,20.2,20,0.00887
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,F,20.2,20,0.01108
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,F,24.1,24,0.00888
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,F,24.1,24,0.00882
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,M,24.1,24,0.01566
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,M,20.1,20,0.01669
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,F,20.1,20,0.01041
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,F,16.1,16,0.01115
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,F,16.1,16,0.01155
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,F,16.2,16,0.00971
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,F,16.2,16,0.01128
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,M,20.2,20,0.0147
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,M,16.1,16,0.021
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,M,16.1,16,0.02159
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,F,16.2,16,0.0151
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,F,16.2,16,0.00985
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,M,16.2,16,0.01726
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,M,16.2,16,0.01607
G16xG10,G,56.81,18.1,13.4,3.7,7.15,16,10,F,16.1,16,0.01179
G20xG10,G,56.81,18.1,13.4,3.7,7.15,20,10,M,24.1,24,0.01309
